;ENERGYSTARScore;LargestPropertyUseType;TotalGHGEmissions;SiteEnergyUse(kBtu);NumberofFloors;NumberofBuildings;PrimaryPropertyType;Longitude;Latitude;BuildingType;DataYear;CouncilDistrictCode;Neighborhood;YearBuilt;PropertyGFATotal;SiteEnergyUse(kBtu)_trans;TotalGHGEmissions_trans
0;65.0;Hotel;249.43;6981428.0;12.0;1.0;Hotel;-122.33799744;47.61219025;NonResidential;2015;7;DOWNTOWN;1927;88434;1.070310466670532;1.3352403536310153
1;51.0;Hotel;263.51;8354235.0;11.0;1.0;Hotel;-122.33335756;47.61310583;NonResidential;2015;7;DOWNTOWN;1996;103566;1.199588922395251;1.3676640729994058
2;18.0;Hotel;2061.48;73130656.0;41.0;1.0;Hotel;-122.33769944;47.61334897;NonResidential;2015;7;DOWNTOWN;1969;961990;2.4697971087585975;2.5025229999414296
3;67.0;Hotel;507.7;14829099.0;18.0;1.0;Hotel;-122.3409238;47.6137544;NonResidential;2015;7;DOWNTOWN;1980;119890;1.5856467550435736;1.7460681718918405
4;39.6;Police Station;304.62;12051984.0;2.0;1.0;Other;-122.33676431;47.6164389;Nonresidential COS;2015;7;DOWNTOWN;1999;97288;1.4507592570628804;1.4527104873865582
5;25.0;Hotel;208.46;6252842.0;11.0;1.0;Hotel;-122.33274086;47.6141141;NonResidential;2015;7;DOWNTOWN;1926;83008;0.9888219032332729;1.2284832705889828
6;55.4;Other - Entertainment/Public Assembly;199.99;6426022.0;8.0;1.0;Other;-122.33130949;47.61290234;NonResidential;2015;7;DOWNTOWN;1926;102761;1.0091728857074154;1.203626044620875
7;46.0;Hotel;331.61;12633744.0;15.0;1.0;Hotel;-122.33255325;47.60258934;NonResidential;2015;7;DOWNTOWN;1904;163984;1.4818727552031428;1.5021414571569462
8;2.0;Multifamily Housing;170.0;4587231.0;6.0;1.0;Mid-Rise Multifamily;-122.33214887;47.60278416;Multifamily MR (5-9);2015;7;DOWNTOWN;1910;63712;0.7508672144423879;1.1056166019390365
9;32.0;Hotel;723.4;27717026.0;25.0;1.0;Hotel;-122.33347215;47.60718204;NonResidential;2015;7;DOWNTOWN;1998;333176;1.9630297188296584;1.9437618915594448
10;39.0;Hotel;334.87;6807227.0;9.0;1.0;Hotel;-122.33310536;47.60709939;NonResidential;2015;7;DOWNTOWN;1928;65009;1.0517721954248271;1.5078201213759193
11;56.0;Hotel;675.34;22811690.0;33.0;1.0;Hotel;-122.33211517;47.60809326;NonResidential;2015;7;DOWNTOWN;1980;315952;1.850073597907339;1.9057331967950564
12;58.0;Library;166.84;16849234.0;11.0;1.0;Other;-122.33226425;47.60667501;Nonresidential COS;2015;7;DOWNTOWN;2004;412000;1.6662293920593942;1.0942308732713548
13;49.0;Fitness Center/Health Club/Gym;411.09;10340282.0;6.0;1.0;Other;-122.33280182;47.60544586;NonResidential;2015;7;DOWNTOWN;1930;103911;1.3477997337655276;1.6260298770192283
14;30.0;Hotel;755.12;33270518.0;28.0;1.0;Hotel;-122.33063632;47.60656003;NonResidential;2015;7;DOWNTOWN;1983;416281;2.0653692596043345;1.9674150625074762
15;34.6;Social/Meeting Hall;265.5;7481768.0;5.0;1.0;Mixed Use Property;-122.33163032;47.60552597;NonResidential;2015;7;DOWNTOWN;1907;57452;1.1206565438902427;1.3720973720060365
16;67.0;Courthouse;1596.08;53332648.0;10.0;1.0;Other;-122.33052826;47.60264587;NonResidential;2015;7;DOWNTOWN;1916;540360;2.3145978725023864;2.3694892334622804
17;73.0;Other;1795.42;50899248.0;19.0;1.0;Other;-122.32830048;47.60355377;NonResidential;2015;3;DOWNTOWN;1985;385274;2.2908742572511076;2.430952729384534
18;96.0;K-12 School;35.17;1454222.0;2.0;1.0;K-12 School;-122.2685843;47.54570136;SPS-District K-12;2015;2;SOUTHEAST;1961;56228;-0.258396845758744;0.09943804698384022
19;85.0;Hotel;102.08;3880806.0;6.0;1.0;Hotel;-122.3173925;47.65953281;NonResidential;2015;4;NORTHEAST;2001;88592;0.61672180022471;0.7911191158965939
20;62.0;College/University;308.6;9791557.0;7.0;1.0;College/University;-122.3369292;47.61839333;NonResidential;2015;7;DOWNTOWN;1928;126593;1.3104530924512547;1.4602864431881322
21;77.6;Automobile Dealership;9.68;1388717.0;2.0;1.0;Other;-122.33040102;47.61490582;NonResidential;2015;7;DOWNTOWN;1930;67224;-0.3034512947767236;-0.804761482829399
22;76.0;Hotel;249.43;5159342.0;8.0;1.0;Hotel;-122.32923126;47.61300278;NonResidential;2015;7;EAST;1991;158676;0.8427351707534625;1.3352403536310153
23;20.0;Hotel;319.73;11026945.0;10.0;1.0;Hotel;-122.33005445;47.61806905;NonResidential;2015;7;DOWNTOWN;2001;171866;1.3913639106448554;1.4809323452610723
24;57.0;K-12 School;244.51;6283226.0;1.0;1.0;K-12 School;-122.3053887;47.62309371;SPS-District K-12;2015;3;CENTRAL;1955;126351;0.9924402634146385;1.323448572845309
25;60.0;Hotel;125.57;4341706.0;5.0;1.0;Hotel;-122.34197968;47.61587049;NonResidential;2015;7;DOWNTOWN;1978;68410;0.7071911021866114;0.9200824715367144
26;80.0;K-12 School;260.37;6387710.0;2.0;1.0;K-12 School;-122.29379175;47.71011498;SPS-District K-12;2015;5;NORTH;1949;160645;1.0047269934881793;1.360595783629867
27;94.0;K-12 School;10.27;1472548.0;2.0;1.0;K-12 School;-122.35245717;47.63303191;SPS-District K-12;2015;7;MAGNOLIA / QUEEN ANNE;1989;51582;-0.24622028960163422;-0.7616144804057319
28;34.0;Office;149.39;3988729.0;3.0;1.0;Small- and Mid-Sized Office;-122.33172174;47.66391557;NonResidential;2015;4;LAKE UNION;1906;87262;0.6390048597099864;1.0269108574319963
29;20.0;Hotel;243.37;7419765.0;4.0;1.0;Hotel;-122.29889419;47.66585193;NonResidential;2015;4;NORTHEAST;1994;81871;1.1146369137994587;1.3206802673104863
30;77.0;Self-Storage Facility;3.71;306721.0;2.0;1.0;"Self-Storage Facility
";-122.29612323;47.66270326;NonResidential;2015;4;NORTHEAST;1955;126394;-2.0092676501442166;-1.5278049825444449
31;91.0;K-12 School;28.78;1655612.0;2.0;1.0;K-12 School;-122.39065097;47.65726207;SPS-District K-12;2015;7;MAGNOLIA / QUEEN ANNE;1990;54986;-0.1336198331986014;-0.03616273961676926
32;88.0;K-12 School;258.67;6227419.0;2.0;1.0;K-12 School;-122.2939354;47.68245037;SPS-District K-12;2015;4;NORTHEAST;1950;175565;0.9857783344238433;1.3567310221587654
33;57.0;Office;123.08;6043853.0;2.0;1.0;Small- and Mid-Sized Office;-122.3860321;47.66580963;NonResidential;2015;6;BALLARD;1961;94900;0.9633572580872326;0.9076864297615719
34;93.0;Office;56.97;2137686.0;2.0;1.0;Small- and Mid-Sized Office;-122.31181286;47.58002948;NonResidential;2015;2;GREATER DUWAMISH;1900;52554;0.10379246909936128;0.4184731486364201
35;95.0;K-12 School;251.72;7080118.0;3.0;1.0;K-12 School;-122.33616192;47.68894837;NonResidential;2015;6;NORTHWEST;1954;175015;1.0805720235338072;1.3406445923057748
36;73.8;Self-Storage Facility;39.87;2147062.0;3.0;1.0;"Self-Storage Facility
";-122.35096928;47.61311034;NonResidential;2015;7;DOWNTOWN;1911;70586;0.10776299999488176;0.18336854890349635
37;68.0;Hotel;263.85;15660628.0;24.0;1.0;Hotel;-122.3334029;47.60950466;NonResidential;2015;7;DOWNTOWN;1969;332210;1.6203000155169656;1.368424041505331
38;79.0;Office;64.23;9213841.0;5.0;1.0;Large Office;-122.3363484;47.61103976;NonResidential;2015;7;DOWNTOWN;1973;168115;1.268361449028466;0.49626894859046694
39;34.4;Office;27.3;3915947.0;8.0;1.0;Small- and Mid-Sized Office;-122.33795929;47.610466;NonResidential;2015;7;DOWNTOWN;1910;59400;0.6240570049427998;-0.0721607668760853
40;71.0;Other - Entertainment/Public Assembly;583.41;15583947.0;2.0;1.0;Mixed Use Property;-122.3374176;47.60883331;NonResidential;2015;7;DOWNTOWN;1926;52549;1.6171964172002182;1.8242208243767202
41;75.0;Multifamily Housing;112.06;2953338.0;4.0;1.0;Low-Rise Multifamily;-122.3403842;47.60973588;Multifamily LR (1-4);2015;7;DOWNTOWN;1900;48383;0.38869335793026466;0.8494172480564077
42;46.0;Hotel;77.8;6175812.0;20.0;1.0;Hotel;-122.33441925;47.61229324;NonResidential;2015;7;DOWNTOWN;1930;98634;0.9795546885905886;0.6193326542278531
43;60.0;Hotel;2846.07;85357952.0;34.0;1.0;Hotel;-122.3335344;47.61101988;NonResidential;2015;7;DOWNTOWN;1982;994212;2.5426150342729645;2.667082220223503
44;99.0;Hotel;126.83;5040382.0;7.0;1.0;Hotel;-122.3414255;47.60989093;NonResidential;2015;7;DOWNTOWN;1985;71150;0.8246574802657776;0.9262557890470869
45;99.0;Hotel;209.92;5086863.0;7.0;1.0;Hotel;-122.3408486;47.61155254;NonResidential;2015;7;DOWNTOWN;1908;122810;0.8317803652777837;1.2326591235964546
46;83.0;Hotel;191.58;6722886.0;7.0;1.0;Hotel;-122.3428044;47.6203118;NonResidential;2015;7;LAKE UNION;2000;150453;1.042594171741409;1.1778098861548527
47;84.0;Hotel;170.01;6014078.0;6.0;1.0;Hotel;-122.3432115;47.62021696;NonResidential;2015;7;LAKE UNION;1997;116300;0.9596446737236461;1.1056522739156889
48;81.0;Hotel;156.59;6915293.0;6.0;1.0;Hotel;-122.3596901;47.62050588;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;1998;155602;1.0633374963834867;1.0556533624594733
49;77.0;K-12 School;139.62;3106930.0;3.0;1.0;K-12 School;-122.3080163;47.63445532;NonResidential;2015;3;EAST;1911;56072;0.4318840178591352;0.9854563204882665
50;94.0;Hotel;169.49;5276777.0;4.0;1.0;Hotel;-122.3445605;47.62498256;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;1999;122942;0.8601043333095831;1.1037943616785282
51;65.0;Office;85.51;3504957.0;2.0;1.0;Small- and Mid-Sized Office;-122.3095441;47.60841187;NonResidential;2015;3;CENTRAL;1962;54984;0.5329912525848958;0.6794396763586154
52;50.0;Senior Care Community;1858.84;45494324.0;5.0;1.0;Senior Care Community;-122.378518;47.55837362;NonResidential;2015;1;SOUTHWEST;1922;217603;2.233015981873445;2.4489925090802513
53;1.0;Senior Care Community;602.0;16371764.0;2.0;1.0;Senior Care Community;-122.3562998;47.72389349;NonResidential;2015;5;NORTHWEST;1970;93397;1.6482538366977475;1.8417596263983105
54;68.0;Hotel;74.04;3979132.0;6.0;1.0;Hotel;-122.3320457;47.61990903;NonResidential;2015;7;LAKE UNION;2008;84103;0.6370523698142281;0.5876745933661491
